wallet,abridge,amount
bc1pgvyue7upmur5jvfg4xj73eaq6cqmd25kaphz90rqnu45kzpjlxpq44yzda,bc1p...yzda,11
bc1p92fcj7qy8mfj3avk8a7n80vc8ncg3238w3wszfcv9g6nsf7d3ugsdrj8hd,bc1p...j8hd,11
bc1pffr4wcu3unwerhmeqv8hveqnj9vp3j78zlv4mraqc48j2xhxd4cqhx3qmf,bc1p...3qmf,11
bc1pswf9nzmn5sd5eusysglytxjd6y9gjwhuayj6dd48kcmjw34hu6ksgy5s0k,bc1p...5s0k,11
bc1qv66x7w80xskw7mjehsx2snfvttwz3e3yndvrqg,bc1q...vrqg,11
bc1p3mjkjqz8hz2fz7a75u43wey4383me62l00g2kh9e2mltrp8cx5tq76svx5,bc1p...svx5,11
bc1pxzh5wkl3f7m3hkfskq4naenv9sf8xpxmfskfgqkmld7wdxpkjtuqg8s78n,bc1p...s78n,11
bc1q06hszmqzwqnfx5yy95e00pwpps6hzvhdu7m8kq,bc1q...m8kq,11
bc1pf2uu6wvu4h8wh0sjsw60k3kjsm348my5sslq30hc4qq220kav5jsttc5t0,bc1p...c5t0,11
bc1qx4jhrjxzts9m50t04flep5axwmfhdkh7mn8dqt,bc1q...8dqt,11
bc1pwlnvsmc9s82plxjr3278fy5ppawse5c7vy4rsdrseyh2c74yufcsy6m8ut,bc1p...m8ut,10
bc1pef8a5qh5nn3jdttedhee5d0d9d2dnle5qggg5uehm77jru0d23ys7edhgd,bc1p...dhgd,10
bc1pdmagsamnecyjj6hdayp69zwsfpdc93m57lklzalnac368u8u59uqzttepr,bc1p...tepr,10
bc1p4s8rk9f8w4uu87wfl8ck0jp6gg5hyf56ewf3u40svc829tc754lsxhrnxf,bc1p...rnxf,10
bc1pk4vwekc2u9qvevkxjrp99zn7w7j2t3vjw3tukv2evtzzmjnk8cgshk969p,bc1p...969p,10
bc1pt0454a63j6d0ha3el8tx5rv0sa49vpm6kfdyn9ma35d99l40xvcq5fvjsj,bc1p...vjsj,10
bc1p7hh06tla4khe9ysu5ndmc4aahdrf7wwzzj95nqrzfxu56u7krqzqtdj92d,bc1p...j92d,10
bc1p2yvk2h60fxqfkuytsgeq7jgxvhcgksm0e5v64d3ne66nlpgwsx4q7escux,bc1p...scux,10
bc1pqn27n7r8rll6zcr02gxuzmhkv7pxrex5ugewk2em2aly38mgpnyqnmznxw,bc1p...znxw,10
bc1pjqu68hmg3tnmkuk4wwvaxptdmfg2wx57ap2d9lp7sxe9l2h5xhksh8qlr7,bc1p...qlr7,10
bc1p668wpz0hze4zfmara0e0xh5gqsmyre6q4fe8l6x9a62sj2xjemqssvcssr,bc1p...cssr,10
bc1pn2dpxrnseaqn4htkpp7q88jlpzhkl0gdmljjhdp7t979g3wjqknqvh9w74,bc1p...9w74,10
bc1pu8wvem7ja346h8tzekps4sfy4ruvtz32ar3z72ptzskde4dza69stlqyd0,bc1p...qyd0,10
bc1p2y47fwdmemf63djk669mgut5gudhj3xgwp2qe6kzmnc8zljknsaq8anztg,bc1p...nztg,10
bc1pqyp2r68e69e2v72penhpkcj8ppteeqhwavtskj2v8zpprxnvvcrsfvaks5,bc1p...aks5,10
bc1p9ang9qfrvm2va9850n39wj8wspj9dwe5shdxxhem69ax25vrw4zq38qqkh,bc1p...qqkh,10
bc1p8j32xalrzlvkfyzt2sd85vzuty62p8tjxyq9dh2jls6nxptew53sdwzgmx,bc1p...zgmx,10
bc1prq9rkzldkgntnlgq9ptpw5yadettwx945kw74k0gw3xae60vsjksprzmgh,bc1p...zmgh,10
bc1pryc3ylu4age6w3tqjvuphlkffu7r5efx8l4juxm6f6uggnttetaqg4m286,bc1p...m286,10
bc1pkzjcrg70xsrfankcv2qlznzxye3f3rpgu3hk7dyljajk7mr26e6smwh4dq,bc1p...h4dq,10
bc1pn80ah8wqls2hepar4gedlrf9y6pke62m5ugqc784kfl7vkydc85sfpehcf,bc1p...ehcf,10
bc1papj3zm4ruv4gs5hy8u9h2k6vmw5rm09505awvyxc9c0c5gzllr6qtuwr6r,bc1p...wr6r,10
bc1pn85345dlpwp9jz758mtjd7l9mhx9ge7teq840xme0g979qx6a0ms0dkpx7,bc1p...kpx7,10
bc1p0y37ja77nfcc2xzwfv4zjhnkuune2syq6an4kfcqqp4f5uz2gncs29tj38,bc1p...tj38,10
bc1pp2cypzzmxlqr2222xchyle2r48yhnn82mxc8j45n3x8njjlcn39s6vc7em,bc1p...c7em,10
bc1p2rmzreux97n5xadpu4xpvwxmfdc3sjq4juzaa25urlxgd3gf628s55z3f2,bc1p...z3f2,10
bc1pyytz2xg8yjshptshm5jhqsscgfjfr8vtpwu3s95zyw4vlwrs3fxqy67vr9,bc1p...7vr9,10
bc1pj4cmfkpnk0muqls3227epvslyj4pekra677fg0tqdedg4jqy82dsu59rzm,bc1p...9rzm,10
bc1p5sp5g34h96rj20psavzy7fzedypx46d866dl28urx4w6dfwhqg4q6tevpe,bc1p...evpe,10
bc1pgp30mszlq5x9p8gtd3cg0e5c6rkwcr8ye6nca8jwaeljs68cn9aqkqpvdp,bc1p...pvdp,10
bc1pytdjsu7ax0vd9lcqhc739cw4e40whmk0lzgptcn0pj2mjnf46c9qhaz8u4,bc1p...z8u4,10
bc1pxneysl9gqc9krlkkkvuakl06uamzhchfjg28882l9skzfhj32a9sgll0c2,bc1p...l0c2,10
bc1pdhng7drhehd3625ymtrnxvv96vq8wm4yntfkqvegtn9m45xn66psd5zctq,bc1p...zctq,10
bc1ph2aer0y7td6w8klv044kn7j2sr9397udlu9tgz72cy5zk4er9hrq60kna0,bc1p...kna0,10
bc1pzgywlxsn8l76xe73zk39d38yv0jexlq8m85efwerljzpaz6hppts7xyqac,bc1p...yqac,10
bc1pmetdvt5nkxukkz4krktrgd480f05mvx3pzsknsskcdyq7du0hgcsguah4k,bc1p...ah4k,10
bc1pe39knt3lgaare94qd2vlksahf9v96g8efzht20upgcxw0j65jepq0gruja,bc1p...ruja,10
bc1pegtntgpgrv4apn7u6s9zupfyunwa5lyupljknr0u9rj5w7l98mmqpq6v7g,bc1p...6v7g,10
bc1p9pd34srretla3jdjhqu8a6lkr9y6se6p9qxk59ag33ap5z8njz6q959ex5,bc1p...9ex5,10
bc1puz45s3cxg4kqgrsmffujkusd9h2kyqps6h86yew829dca6uf96fsv6k96z,bc1p...k96z,10
bc1pk58mzyajv8l2zt7gapvw397pmymd7gtyga9usj8nr2h6yxc3hv0qh5k7q7,bc1p...k7q7,10
bc1pyq0mqzcnfawsnyfv5fdtmykz2h49vt52m3hm20hqv409s8m3a3ts3gzxty,bc1p...zxty,10
bc1puychy65kf67mg3sc7k02dr4ddy6dptzvssgr9mdwrcza5903pl7s34hjyh,bc1p...hjyh,9
bc1pxwa3na4ntrweuwj88hqdvpduvd93aeu6q6xwpehhzswuxsjtlkgs8tp02s,bc1p...p02s,9
bc1p7l734aw77626fvpnq7k2u8zqm5nxnahjk0e7qwru3dflahur660q8u6753,bc1p...6753,9
bc1qareqkj33l95rl6wwayfqp07yfyffslphrw42gk,bc1q...42gk,9
bc1qucc03sam4q7m2ff6y6x6y3jz3uguune20xervp,bc1q...ervp,9
bc1ptaznfs8y7lpmte83x7stsqtdc6mpp5an9m2ft5azltua89j5wv2swljnys,bc1p...jnys,9
bc1pa3jmsce8mfjkstjz8y45xhgj9egajsqyuyjgy7ms9gf33cj6l0jqrk8yyc,bc1p...8yyc,9
